obs,time,deployment,conductivity_millisiemens,driver_timestamp,ingestion_timestamp,internal_timestamp,port_timestamp,preferred_timestamp,pressure,raw_time_microseconds,raw_time_seconds,temp,dpc_ctd_seawater_conductivity,practical_salinity,density,pressure_qc_executed,pressure_qc_results,temp_qc_executed,temp_qc_results,conductivity_millisiemens_qc_executed,conductivity_millisiemens_qc_results,dpc_ctd_seawater_conductivity_qc_executed,dpc_ctd_seawater_conductivity_qc_results,density_qc_executed,density_qc_results,practical_salinity_qc_executed,practical_salinity_qc_results,lat,lon
"('0',)",3659860871.01,2,31.4745998383,3746541027.11,3746541027.18,3659860871.01,0.0,internal_timestamp,2927.62011719,8502,1450872071,1.71990001202,3.14745998383,34.6453220822,1041.11747025,29,29,29,29,1,0,29,13,29,29,29,29,44.52757,-125.38075
"('1',)",3659860882.03,2,31.4729003906,3746541027.11,3746541027.18,3659860882.03,0.0,internal_timestamp,2925.02001953,29110,1450872082,1.71930003166,3.14729003906,34.6450711452,1041.10584328,29,29,29,29,1,0,29,13,29,29,29,29,44.52757,-125.38075
"('2',)",3659860893.0,2,31.4715003967,3746541027.11,3746541027.18,3659860893.0,0.0,internal_timestamp,2922.06005859,4757,1450872093,1.71909999847,3.14715003967,34.6449282265,1041.09264479,29,29,29,29,1,0,29,13,29,29,29,29,44.52757,-125.38075
"('3',)",3659860904.01,2,31.4699001312,3746541027.11,3746541027.18,3659860904.01,0.0,internal_timestamp,2919.10009766,7931,1450872104,1.71879994869,3.14699001312,34.6446461115,1041.07935195,29,29,29,29,1,0,29,13,29,29,29,29,44.52757,-125.38075
"('4',)",3659860915.01,2,31.4685993195,3746541027.11,3746541027.18,3659860915.01,0.0,internal_timestamp,2916.13989258,9671,1450872115,1.71840000153,3.14685993195,34.6448385336,1041.06644218,29,29,29,29,1,0,29,13,29,29,29,29,44.52757,-125.38075
"('5',)",3659860926.01,2,31.468000412,3746541027.11,3746541027.18,3659860926.01,0.0,internal_timestamp,2914.42993164,7241,1450872126,1.71829998493,3.1468000412,34.6449976677,1041.05900218,29,29,29,29,1,0,29,13,29,29,29,29,44.52757,-125.38075
"('6',)",3659860937.01,2,31.468000412,3746541027.11,3746541027.18,3659860937.01,0.0,internal_timestamp,2914.39990234,6457,1450872137,1.71829998493,3.1468000412,34.6450115114,1041.05887987,29,29,29,29,1,0,29,13,29,29,29,29,44.52757,-125.38075
"('7',)",3659860948.02,2,31.4671993256,3746541027.11,3746541027.18,3659860948.02,0.0,internal_timestamp,2912.85009766,20453,1450872148,1.71800005436,3.14671993256,34.645061419,1041.05209436,29,29,29,29,1,0,29,13,29,29,29,29,44.52757,-125.38075
"('8',)",3659860959.02,2,31.4659004211,3746541027.11,3746541027.18,3659860959.02,0.0,internal_timestamp,2910.22998047,16083,1450872159,1.71770000458,3.14659004211,34.6449936593,1041.04047241,29,29,29,29,1,0,29,13,29,29,29,29,44.52757,-125.38075
"('9',)",3659860970.02,2,31.4645004272,3746541027.11,3746541027.18,3659860970.02,0.0,internal_timestamp,2907.27001953,16896,1450872170,1.71749997139,3.14645004272,34.6448522435,1041.02727074,29,29,29,29,1,0,29,13,29,29,29,29,44.52757,-125.38075
"('10',)",3659860981.04,2,31.4631996155,3746541027.11,3746541027.18,3659860981.04,0.0,internal_timestamp,2904.33007812,44893,1450872181,1.71749997139,3.14631996155,34.6446107412,1041.01404888,29,29,29,29,1,0,29,13,29,29,29,29,44.52757,-125.38075
"('11',)",3659860992.02,2,31.4619007111,3746541027.11,3746541027.18,3659860992.02,0.0,internal_timestamp,2901.37011719,16238,1450872192,1.71720004082,3.14619007111,34.6447004609,1041.00104074,29,29,29,29,1,0,29,13,29,29,29,29,44.52757,-125.38075
