obs,time,deployment,conductivity_millisiemens,driver_timestamp,ingestion_timestamp,internal_timestamp,port_timestamp,preferred_timestamp,pressure,raw_time_microseconds,raw_time_seconds,temp,dpc_ctd_seawater_conductivity,practical_salinity,density,pressure_qc_executed,pressure_qc_results,temp_qc_executed,temp_qc_results,conductivity_millisiemens_qc_executed,conductivity_millisiemens_qc_results,dpc_ctd_seawater_conductivity_qc_executed,dpc_ctd_seawater_conductivity_qc_results,density_qc_executed,density_qc_results,practical_salinity_qc_executed,practical_salinity_qc_results,lat,lon
"('0',)",3772310531.94,4,31.4060001373,3773757810.65,3773757810.67,3772310531.94,0.0,internal_timestamp,2641.05004883,939289,1563321731,1.78779995441,3.14060001373,34.6221403848,1039.81653004,29,29,29,29,1,0,29,13,29,29,29,29,45.82972,-129.75904
"('1',)",3772310551.93,4,31.4051990509,3773757810.65,3773757810.67,3772310551.93,0.0,internal_timestamp,2636.30004883,933402,1563321751,1.78970003128,3.14051990509,34.6213669199,1039.79449382,29,29,29,29,1,0,29,13,29,29,29,29,45.82972,-129.75904
"('2',)",3772310571.93,4,31.403799057,3773757810.65,3773757810.67,3772310571.93,0.0,internal_timestamp,2630.64990234,934234,1563321771,1.79059994221,3.1403799057,34.6213478901,1039.76917979,29,29,29,29,1,0,29,13,29,29,29,29,45.82972,-129.75904
"('3',)",3772310591.94,4,31.4018993378,3773757810.65,3773757810.67,3772310591.94,0.0,internal_timestamp,2625.08007812,935745,1563321791,1.79100000858,3.14018993378,34.6212106177,1039.74420042,29,29,29,29,1,0,29,13,29,29,29,29,45.82972,-129.75904
"('4',)",3772310611.94,4,31.4009990692,3773757810.65,3773757810.67,3772310611.94,0.0,internal_timestamp,2619.5300293,937749,1563321811,1.79270005226,3.14009990692,34.6209080777,1039.71898995,29,29,29,29,1,0,29,13,29,29,29,29,45.82972,-129.75904
"('5',)",3772310631.93,4,31.3992996216,3773757810.65,3773757810.68,3772310631.93,0.0,internal_timestamp,2613.95996094,931554,1563321831,1.79390001297,3.13992996216,34.6201667206,1039.69341662,29,29,29,29,1,0,29,13,29,29,29,29,45.82972,-129.75904
"('6',)",3772310651.94,4,31.3978004456,3773757810.65,3773757810.68,3772310651.94,0.0,internal_timestamp,2608.42993164,935619,1563321851,1.79489994049,3.13978004456,34.6198668569,1039.66839296,29,29,29,29,1,0,29,13,29,29,29,29,45.82972,-129.75904
"('7',)",3772310671.94,4,31.3955993652,3773757810.65,3773757810.68,3772310671.94,0.0,internal_timestamp,2602.88989258,939561,1563321871,1.79449999332,3.13955993652,34.6202020273,1039.64401954,29,29,29,29,1,0,29,13,29,29,29,29,45.82972,-129.75904
"('8',)",3772310691.93,4,31.3948001862,3773757810.65,3773757810.68,3772310691.93,0.0,internal_timestamp,2597.39990234,933143,1563321891,1.79600000381,3.13948001862,34.6202127906,1039.61933998,29,29,29,29,1,0,29,13,29,29,29,29,45.82972,-129.75904
"('9',)",3772314644.96,4,31.4155006409,3773757810.67,3773757810.72,3772314644.96,0.0,internal_timestamp,1539.89001465,963280,1563325844,2.39849996567,3.14155006409,34.5208490144,1034.69598653,29,29,29,29,1,0,29,13,29,29,29,29,45.82972,-129.75904
"('10',)",3772314671.16,4,31.4155006409,3773757810.67,3773757810.72,3772314671.16,0.0,internal_timestamp,1539.60998535,158601,1563325871,2.39869999886,3.14155006409,34.5207776921,1034.69463083,29,29,29,29,1,0,29,13,29,29,29,29,45.82972,-129.75904
"('11',)",3772314691.17,4,31.4207992554,3773757810.67,3773757810.72,3772314691.17,0.0,internal_timestamp,1535.39001465,165449,1563325891,2.40820002556,3.14207992554,34.5192743989,1034.67306088,29,29,29,29,1,0,29,13,29,29,29,29,45.82972,-129.75904
"('12',)",3772314711.16,4,31.4249992371,3773757810.67,3773757810.72,3772314711.16,0.0,internal_timestamp,1529.94995117,159688,1563325911,2.41700005531,3.14249992371,34.5177912544,1034.64603793,29,29,29,29,1,0,29,13,29,29,29,29,45.82972,-129.75904
"('13',)",3772314731.16,4,31.434299469,3773757810.67,3773757810.72,3772314731.16,0.0,internal_timestamp,1524.52001953,164805,1563325931,2.4321000576,3.1434299469,34.5158291875,1034.61790375,29,29,29,29,1,0,29,13,29,29,29,29,45.82972,-129.75904
"('14',)",3772314751.16,4,31.4430007935,3773757810.67,3773757810.72,3772314751.16,0.0,internal_timestamp,1519.04003906,158479,1563325951,2.44589996338,3.14430007935,34.5145438889,1034.5902346,29,29,29,29,1,0,29,13,29,29,29,29,45.82972,-129.75904
"('15',)",3772314771.16,4,31.4459991455,3773757810.67,3773757810.72,3772314771.16,0.0,internal_timestamp,1513.60998535,161850,1563325971,2.4525001049,3.14459991455,34.5139300464,1034.5642062,29,29,29,29,1,0,29,13,29,29,29,29,45.82972,-129.75904
"('16',)",3772314791.16,4,31.4458007812,3773757810.67,3773757810.72,3772314791.16,0.0,internal_timestamp,1508.18994141,155395,1563325991,2.45539999008,3.14458007813,34.5133458595,1034.53869938,29,29,29,29,1,0,29,13,29,29,29,29,45.82972,-129.75904
"('17',)",3772314811.18,4,31.4458999634,3773757810.67,3773757810.72,3772314811.18,0.0,internal_timestamp,1502.82995605,184492,1563326011,2.45799994469,3.14458999634,34.5134142453,1034.51401542,29,29,29,29,1,0,29,13,29,29,29,29,45.82972,-129.75904
"('18',)",3772314831.16,4,31.4484996796,3773757810.67,3773757810.72,3772314831.16,0.0,internal_timestamp,1497.42004395,158325,1563326031,2.46499991417,3.14484996796,34.5118811031,1034.48729689,29,29,29,29,1,0,29,13,29,29,29,29,45.82972,-129.75904
"('19',)",3772314851.16,4,31.4543991089,3773757810.67,3773757810.72,3772314851.16,0.0,internal_timestamp,1492.01000977,162931,1563326051,2.47569990158,3.14543991089,34.5104403105,1034.4601931,29,29,29,29,1,0,29,13,29,29,29,29,45.82972,-129.75904
"('20',)",3772314871.16,4,31.4571990967,3773757810.67,3773757810.72,3772314871.16,0.0,internal_timestamp,1486.59997559,164164,1563326071,2.48230004311,3.14571990967,34.5095780695,1034.43404933,29,29,29,29,1,0,29,13,29,29,29,29,45.82972,-129.75904
"('21',)",3772314891.17,4,31.4666004181,3773757810.67,3773757810.72,3772314891.17,0.0,internal_timestamp,1481.22998047,165389,1563326091,2.49780011177,3.14666004181,34.5072860734,1034.40586297,29,29,29,29,1,0,29,13,29,29,29,29,45.82972,-129.75904
"('22',)",3772314911.16,4,31.4710006714,3773757810.67,3773757810.72,3772314911.16,0.0,internal_timestamp,1475.80004883,156632,1563326111,2.50640010834,3.14710006714,34.5062605978,1034.37925091,29,29,29,29,1,0,29,13,29,29,29,29,45.82972,-129.75904
"('23',)",3772314931.16,4,31.4717998505,3773757810.67,3773757810.72,3772314931.16,0.0,internal_timestamp,1470.38000488,161002,1563326131,2.50990009308,3.14717998505,34.5062607372,1034.35411899,29,29,29,29,1,0,29,13,29,29,29,29,45.82972,-129.75904
"('24',)",3772314951.16,4,31.4787006378,3773757810.67,3773757810.72,3772314951.16,0.0,internal_timestamp,1464.94995117,164838,1563326151,2.52189993858,3.14787006378,34.5046715274,1034.32664054,29,29,29,29,1,0,29,13,29,29,29,29,45.82972,-129.75904
"('25',)",3772314971.16,4,31.4818992615,3773757810.67,3773757810.72,3772314971.16,0.0,internal_timestamp,1459.5,157081,1563326171,2.52959990501,3.14818992615,34.5031499447,1034.29965254,29,29,29,29,1,0,29,13,29,29,29,29,45.82972,-129.75904
"('26',)",3772314991.16,4,31.4888000488,3773757810.67,3773757810.72,3772314991.16,0.0,internal_timestamp,1454.10998535,162882,1563326191,2.54169988632,3.14888000488,34.501434947,1034.2722426,29,29,29,29,1,0,29,13,29,29,29,29,45.82972,-129.75904
"('27',)",3772315011.16,4,31.488199234,3773757810.67,3773757810.72,3772315011.16,0.0,internal_timestamp,1448.64001465,155925,1563326211,2.5436000824,3.1488199234,34.5014571853,1034.24709084,29,29,29,29,1,0,29,13,29,29,29,29,45.82972,-129.75904
"('28',)",3772315031.16,4,31.4925994873,3773757810.67,3773757810.72,3772315031.16,0.0,internal_timestamp,1443.22998047,162453,1563326231,2.5529999733,3.14925994873,34.4995757061,1034.21978762,29,29,29,29,1,0,29,13,29,29,29,29,45.82972,-129.75904
"('29',)",3772315051.16,4,31.501499176,3773757810.67,3773757810.72,3772315051.16,0.0,internal_timestamp,1437.83996582,156559,1563326251,2.56760001183,3.1501499176,34.497641321,1034.19189379,29,29,29,29,1,0,29,13,29,29,29,29,45.82972,-129.75904
"('30',)",3772315071.16,4,31.5027008057,3773757810.67,3773757810.72,3772315071.16,0.0,internal_timestamp,1432.42004395,161170,1563326271,2.57179999352,3.15027008057,34.4973930775,1034.16646955,29,29,29,29,1,0,29,13,29,29,29,29,45.82972,-129.75904
"('31',)",3772315091.16,4,31.5062999725,3773757810.67,3773757810.72,3772315091.16,0.0,internal_timestamp,1427.02001953,162660,1563326291,2.57949995995,3.15062999725,34.4963380635,1034.14006839,29,29,29,29,1,0,29,13,29,29,29,29,45.82972,-129.75904
"('32',)",3772315111.16,4,31.5149993896,3773757810.67,3773757810.72,3772315111.16,0.0,internal_timestamp,1421.65002441,156961,1563326311,2.5938000679,3.15149993896,34.4944689541,1034.11235073,29,29,29,29,1,0,29,13,29,29,29,29,45.82972,-129.75904
"('33',)",3772315131.16,4,31.5196990967,3773757810.67,3773757810.72,3772315131.16,0.0,internal_timestamp,1416.2199707,160003,1563326331,2.60290002823,3.15196990967,34.4932832755,1034.08553519,29,29,29,29,1,0,29,13,29,29,29,29,45.82972,-129.75904
"('34',)",3772315151.17,4,31.5249996185,3773757810.67,3773757810.72,3772315151.17,0.0,internal_timestamp,1410.88000488,166082,1563326351,2.61279988289,3.15249996185,34.4919343866,1034.0588973,29,29,29,29,1,0,29,13,29,29,29,29,45.82972,-129.75904
"('35',)",3772315171.16,4,31.5317993164,3773757810.67,3773757810.72,3772315171.16,0.0,internal_timestamp,1405.51000977,159566,1563326371,2.625,3.15317993164,34.4899837199,1034.03136416,29,29,29,29,1,0,29,13,29,29,29,29,45.82972,-129.75904
