obs,conductivity_millisiemens,conductivity_millisiemens_qc_executed,conductivity_millisiemens_qc_results,density,density_qc_executed,density_qc_results,deployment,dpc_ctd_seawater_conductivity,dpc_ctd_seawater_conductivity_qc_executed,dpc_ctd_seawater_conductivity_qc_results,driver_timestamp,ingestion_timestamp,internal_timestamp,lat,lon,port_timestamp,practical_salinity,practical_salinity_qc_executed,practical_salinity_qc_results,preferred_timestamp,pressure,pressure_qc_executed,pressure_qc_results,raw_time_microseconds,raw_time_seconds,temp,temp_qc_executed,temp_qc_results,time
"('0',)",33.117401123,1,0,1029.64749433,29,29,2,3.3117401123,29,13,3724598992.7,3724598992.73,3659644867.98,44.36829,-124.9528,0.0,34.1504628094,29,29,internal_timestamp,575.739990234,29,29,977114,1450656067,5.1560997963,29,29,3659644867.98
"('1',)",33.1225013733,1,0,1029.63894652,29,29,2,3.31225013733,29,13,3724598992.7,3724598992.73,3659644878.97,44.36829,-124.9528,0.0,34.1494148429,29,29,internal_timestamp,574.270019531,29,29,972069,1450656078,5.16359996796,29,29,3659644878.97
"('2',)",33.123298645,1,0,1029.63091172,29,29,2,3.3123298645,29,13,3724598992.7,3724598992.73,3659644889.98,44.36829,-124.9528,0.0,34.1490029919,29,29,internal_timestamp,572.650024414,29,29,977844,1450656089,5.1656999588,29,29,3659644889.98
"('3',)",33.1195983887,1,0,1029.62347328,29,29,2,3.31195983887,29,13,3724598992.7,3724598992.73,3659644900.98,44.36829,-124.9528,0.0,34.1501011259,29,29,internal_timestamp,570.719970703,29,29,984443,1450656100,5.16139984131,29,29,3659644900.98
"('4',)",33.1300010681,1,0,1029.60999916,29,29,2,3.31300010681,29,13,3724598992.7,3724598992.73,3659644911.98,44.36829,-124.9528,0.0,34.146248851,29,29,internal_timestamp,568.909973145,29,29,979511,1450656111,5.17780017853,29,29,3659644911.98
"('5',)",33.126499176,1,0,1029.60365422,29,29,2,3.3126499176,29,13,3724598992.7,3724598992.74,3659644922.99,44.36829,-124.9528,0.0,34.1473524063,29,29,internal_timestamp,567.219970703,29,29,985636,1450656122,5.17360019684,29,29,3659644922.99
"('6',)",33.1333007812,1,0,1029.59442049,29,29,2,3.31333007813,29,13,3724598992.7,3724598992.74,3659644933.98,44.36829,-124.9528,0.0,34.1464884605,29,29,internal_timestamp,565.619995117,29,29,982419,1450656133,5.18289995193,29,29,3659644933.98
"('7',)",33.1400985718,1,0,1029.58320957,29,29,2,3.31400985718,29,13,3724598992.7,3724598992.74,3659644944.99,44.36829,-124.9528,0.0,34.1432626346,29,29,internal_timestamp,564.059997559,29,29,987307,1450656144,5.19449996948,29,29,3659644944.99
"('8',)",33.1539001465,1,0,1029.5703538,29,29,2,3.31539001465,29,13,3724598992.7,3724598992.74,3659644955.99,44.36829,-124.9528,0.0,34.1393106295,29,29,internal_timestamp,562.510009766,29,29,991924,1450656155,5.21470022202,29,29,3659644955.99
"('9',)",33.1669006348,1,0,1029.55811237,29,29,2,3.31669006348,29,13,3724598992.7,3724598992.74,3659644966.99,44.36829,-124.9528,0.0,34.1363105863,29,29,internal_timestamp,560.880004883,29,29,988116,1450656166,5.23309993744,29,29,3659644966.99
