obs,conductivity_millisiemens,conductivity_millisiemens_qc_executed,conductivity_millisiemens_qc_results,density,density_qc_executed,density_qc_results,deployment,dpc_ctd_seawater_conductivity,dpc_ctd_seawater_conductivity_qc_executed,dpc_ctd_seawater_conductivity_qc_results,driver_timestamp,ingestion_timestamp,internal_timestamp,lat,lon,port_timestamp,practical_salinity,practical_salinity_qc_executed,practical_salinity_qc_results,preferred_timestamp,pressure,pressure_qc_executed,pressure_qc_results,raw_time_microseconds,time,temp,temp_qc_executed,temp_qc_results,time
"('0',)",33.23820114,1,0,1029.633953,29,29,5,3.323820114,29,29,3774706964,3774706965,3771187288,44.36829,-124.9528,0,34.14616798,29,29,internal_timestamp,577.4899902,29,29,84066,1562198488,5.295499802,29,29,3771187288
"('1',)",33.24739838,1,0,1029.609701,29,29,5,3.324739838,29,29,3774706964,3774706965,3771187308,44.36829,-124.9528,0,34.14286797,29,29,internal_timestamp,573.2199707,29,29,78160,1562198508,5.311200142,29,29,3771187308
"('2',)",33.24840164,1,0,1029.585031,29,29,5,3.324840164,29,29,3774706964,3774706965,3771187328,44.36829,-124.9528,0,34.14266161,29,29,internal_timestamp,567.9899902,29,29,80924,1562198528,5.315100193,29,29,3771187328
"('3',)",33.24710083,1,0,1029.560269,29,29,5,3.324710083,29,29,3774706964,3774706965,3771187348,44.36829,-124.9528,0,34.14229092,29,29,internal_timestamp,562.7000122,29,29,118547,1562198548,5.316599846,29,29,3771187348
"('4',)",33.24980164,1,0,1029.534527,29,29,5,3.324980164,29,29,3774706964,3774706965,3771187368,44.36829,-124.9528,0,34.14129496,29,29,internal_timestamp,557.4500122,29,29,81529,1562198568,5.323200226,29,29,3771187368
"('5',)",33.26929855,1,0,1029.503607,29,29,5,3.326929855,29,29,3774706964,3774706965,3771187388,44.36829,-124.9528,0,34.13735809,29,29,internal_timestamp,552.2000122,29,29,97534,1562198588,5.35160017,29,29,3771187388
"('6',)",33.33950043,1,0,1029.450872,29,29,5,3.333950043,29,29,3774706964,3774706965,3771187408,44.36829,-124.9528,0,34.11775177,29,29,internal_timestamp,546.9699707,29,29,96117,1562198608,5.452499866,29,29,3771187408
"('7',)",33.36380005,1,0,1029.422428,29,29,5,3.336380005,29,29,3774706964,3774706965,3771187428,44.36829,-124.9528,0,34.11746228,29,29,internal_timestamp,541.6900024,29,29,82696,1562198628,5.482699871,29,29,3771187428
"('8',)",33.43299866,1,0,1029.37503,29,29,5,3.343299866,29,29,3774706964,3774706965,3771187448,44.36829,-124.9528,0,34.10345243,29,29,internal_timestamp,536.4899902,29,29,99735,1562198648,5.576900005,29,29,3771187448
"('9',)",33.50260162,1,0,1029.337051,29,29,5,3.350260162,29,29,3774706964,3774706965,3771187468,44.36829,-124.9528,0,34.09996893,29,29,internal_timestamp,531.2600098,29,29,97777,1562198668,5.661099911,29,29,3771187468
