obs,conductivity,conductivity_qc_executed,conductivity_qc_results,density,density_qc_executed,density_qc_results,deployment,driver_timestamp,ingestion_timestamp,internal_timestamp,lat,lon,port_timestamp,preferred_timestamp,pressure,pressure_qc_executed,pressure_qc_results,profiler_timestamp,salinity,salinity_qc_executed,salinity_qc_results,suspect_timestamp,temperature,temperature_qc_executed,temperature_qc_results,time
"('0',)",3.64916992188,29,13,1025.66663983,29,13,8,3742914133.81,3742914134.09,3722239645.67,44.64102,-124.30216,0.0,internal_timestamp,75.8079986572,29,29,1513250845.67,32.9894981384,29,29,1,10.3774995804,29,29,3722239645.67
"('1',)",3.64929008484,29,13,1025.66737796,29,13,8,3742914133.81,3742914134.09,3722239645.73,44.64102,-124.30216,0.0,internal_timestamp,75.8059997559,29,29,1513250845.73,32.9905014038,29,29,0,10.377699852,29,29,3722239645.73
"('2',)",3.64878988266,29,13,1025.66348985,29,13,8,3742914133.81,3742914134.09,3722239645.8,44.64102,-124.30216,0.0,internal_timestamp,75.8040008545,29,29,1513250845.8,32.9855003357,29,29,0,10.3775997162,29,29,3722239645.8
"('3',)",3.64916992188,29,13,1025.66652814,29,13,8,3742914133.81,3742914134.09,3722239645.86,44.64102,-124.30216,0.0,internal_timestamp,75.8079986572,29,29,1513250845.86,32.9893989563,29,29,0,10.377699852,29,29,3722239645.86
"('4',)",3.64929008484,29,13,1025.66747244,29,13,8,3742914133.81,3742914134.09,3722239645.92,44.64102,-124.30216,0.0,internal_timestamp,75.8059997559,29,29,1513250845.92,32.9906005859,29,29,0,10.3775997162,29,29,3722239645.92
"('5',)",3.64832997322,29,13,1025.65995212,29,13,8,3742914133.81,3742914134.09,3722239645.98,44.64102,-124.30216,0.0,internal_timestamp,75.8010025024,29,29,1513250845.98,32.9809989929,29,29,0,10.377699852,29,29,3722239645.98
"('6',)",3.64845991135,29,13,1025.66078015,29,13,8,3742914133.81,3742914134.09,3722239646.04,44.64102,-124.30216,0.0,internal_timestamp,75.797996521,29,29,1513250846.04,32.9821014404,29,29,0,10.3777999878,29,29,3722239646.04
"('7',)",3.64877009392,29,13,1025.66341258,29,13,8,3742914133.81,3742914134.09,3722239646.11,44.64102,-124.30216,0.0,internal_timestamp,75.8040008545,29,29,1513250846.11,32.9854011536,29,29,0,10.3775997162,29,29,3722239646.11
"('8',)",3.64854001999,29,13,1025.66152148,29,13,8,3742914133.81,3742914134.09,3722239646.17,44.64102,-124.30216,0.0,internal_timestamp,75.8030014038,29,29,1513250846.17,32.983001709,29,29,0,10.377699852,29,29,3722239646.17
"('9',)",3.64838004112,29,13,1025.66026418,29,13,8,3742914133.81,3742914134.09,3722239646.23,44.64102,-124.30216,0.0,internal_timestamp,75.8010025024,29,29,1513250846.23,32.9813995361,29,29,0,10.377699852,29,29,3722239646.23
"('10',)",3.64836001396,29,13,1025.66018691,29,13,8,3742914133.81,3742914134.09,3722239646.3,44.64102,-124.30216,0.0,internal_timestamp,75.8010025024,29,29,1513250846.3,32.981300354,29,29,0,10.377699852,29,29,3722239646.3
"('11',)",3.64842009544,29,13,1025.66056258,29,13,8,3742914133.81,3742914134.09,3722239646.36,44.64102,-124.30216,0.0,internal_timestamp,75.797996521,29,29,1513250846.36,32.9818000793,29,29,0,10.377699852,29,29,3722239646.36
"('12',)",3.64847993851,29,13,1025.66102917,29,13,8,3742914133.81,3742914134.09,3722239646.42,44.64102,-124.30216,0.0,internal_timestamp,75.797996521,29,29,1513250846.42,32.9823989868,29,29,0,10.377699852,29,29,3722239646.42
"('13',)",3.64848995209,29,13,1025.66109737,29,13,8,3742914133.81,3742914134.09,3722239646.48,44.64102,-124.30216,0.0,internal_timestamp,75.7959976196,29,29,1513250846.48,32.9824981689,29,29,0,10.377699852,29,29,3722239646.48
"('14',)",3.64846992493,29,13,1025.66101555,29,13,8,3742914133.81,3742914134.09,3722239646.55,44.64102,-124.30216,0.0,internal_timestamp,75.7949981689,29,29,1513250846.55,32.9823989868,29,29,0,10.377699852,29,29,3722239646.55
"('15',)",3.64845991135,29,13,1025.66084285,29,13,8,3742914133.81,3742914134.09,3722239646.61,44.64102,-124.30216,0.0,internal_timestamp,75.7910003662,29,29,1513250846.61,32.9822006226,29,29,0,10.377699852,29,29,3722239646.61
"('16',)",3.64844989777,29,13,1025.66085193,29,13,8,3742914133.81,3742914134.09,3722239646.67,44.64102,-124.30216,0.0,internal_timestamp,75.7929992676,29,29,1513250846.67,32.9822006226,29,29,0,10.377699852,29,29,3722239646.67
"('17',)",3.64847993851,29,13,1025.66098378,29,13,8,3742914133.81,3742914134.1,3722239646.73,44.64102,-124.30216,0.0,internal_timestamp,75.7880020142,29,29,1513250846.73,32.9823989868,29,29,0,10.377699852,29,29,3722239646.73
"('18',)",3.64851999283,29,13,1025.66128675,29,13,8,3742914133.81,3742914134.1,3722239646.8,44.64102,-124.30216,0.0,internal_timestamp,75.7860031128,29,29,1513250846.8,32.98279953,29,29,0,10.377699852,29,29,3722239646.8
"('19',)",3.64855003357,29,13,1025.66149067,29,13,8,3742914133.81,3742914134.1,3722239646.86,44.64102,-124.30216,0.0,internal_timestamp,75.7829971313,29,29,1513250846.86,32.9831008911,29,29,0,10.3777999878,29,29,3722239646.86
"('20',)",3.64858007431,29,13,1025.66163159,29,13,8,3742914133.81,3742914134.1,3722239646.92,44.64102,-124.30216,0.0,internal_timestamp,75.7799987793,29,29,1513250846.92,32.9832992554,29,29,0,10.3777999878,29,29,3722239646.92
"('21',)",3.64860010147,29,13,1025.66186638,29,13,8,3742914133.81,3742914134.1,3722239646.98,44.64102,-124.30216,0.0,internal_timestamp,75.7799987793,29,29,1513250846.98,32.9836006165,29,29,0,10.3777999878,29,29,3722239646.98
"('22',)",3.64861011505,29,13,1025.6618573,29,13,8,3742914133.81,3742914134.1,3722239647.04,44.64102,-124.30216,0.0,internal_timestamp,75.7779998779,29,29,1513250847.04,32.9836006165,29,29,0,10.3777999878,29,29,3722239647.04
"('23',)",3.64861011505,29,13,1025.66184727,29,13,8,3742914133.81,3742914134.1,3722239647.11,44.64102,-124.30216,0.0,internal_timestamp,75.7720031738,29,29,1513250847.11,32.9836006165,29,29,0,10.377699852,29,29,3722239647.11
"('24',)",3.64861011505,29,13,1025.66191088,29,13,8,3742914133.81,3742914134.1,3722239647.26,44.64102,-124.30216,0.0,internal_timestamp,75.7689971924,29,29,1513250847.26,32.9836997986,29,29,1,10.377699852,29,29,3722239647.26
"('25',)",3.64860010147,29,13,1025.66191901,29,13,8,3742914133.81,3742914134.1,3722239647.89,44.64102,-124.30216,0.0,internal_timestamp,75.766998291,29,29,1513250847.89,32.9836997986,29,29,0,10.3775997162,29,29,3722239647.89
"('26',)",3.64859008789,29,13,1025.66190993,29,13,8,3742914133.81,3742914134.1,3722239647.91,44.64102,-124.30216,0.0,internal_timestamp,75.7649993896,29,29,1513250847.91,32.9836997986,29,29,0,10.3775997162,29,29,3722239647.91
"('27',)",3.64860010147,29,13,1025.66190993,29,13,8,3742914133.81,3742914134.1,3722239647.93,44.64102,-124.30216,0.0,internal_timestamp,75.7649993896,29,29,1513250847.93,32.9836997986,29,29,0,10.3775997162,29,29,3722239647.93
"('28',)",3.64860010147,29,13,1025.66188269,29,13,8,3742914133.81,3742914134.1,3722239647.94,44.64102,-124.30216,0.0,internal_timestamp,75.7590026855,29,29,1513250847.94,32.9836997986,29,29,0,10.3775997162,29,29,3722239647.94
"('29',)",3.64860010147,29,13,1025.66185996,29,13,8,3742914133.81,3742914134.1,3722239647.94,44.64102,-124.30216,0.0,internal_timestamp,75.7539978027,29,29,1513250847.94,32.9836997986,29,29,0,10.3775997162,29,29,3722239647.94
"('30',)",3.64860010147,29,13,1025.6618418,29,13,8,3742914133.81,3742914134.1,3722239647.95,44.64102,-124.30216,0.0,internal_timestamp,75.75,29,29,1513250847.95,32.9836997986,29,29,0,10.3775997162,29,29,3722239647.95
"('31',)",3.64861011505,29,13,1025.66186551,29,13,8,3742914133.81,3742914134.1,3722239647.96,44.64102,-124.30216,0.0,internal_timestamp,75.7419967651,29,29,1513250847.96,32.9837989807,29,29,0,10.377699852,29,29,3722239647.96
"('32',)",3.64861011505,29,13,1025.66187916,29,13,8,3742914133.81,3742914134.1,3722239647.97,44.64102,-124.30216,0.0,internal_timestamp,75.7450027466,29,29,1513250847.97,32.9837989807,29,29,0,10.377699852,29,29,3722239647.97
