obs,conductivity,conductivity_qc_executed,conductivity_qc_results,density,density_qc_executed,density_qc_results,deployment,driver_timestamp,ingestion_timestamp,internal_timestamp,lat,lon,port_timestamp,preferred_timestamp,pressure,pressure_qc_executed,pressure_qc_results,profiler_timestamp,salinity,salinity_qc_executed,salinity_qc_results,suspect_timestamp,temperature,temperature_qc_executed,temperature_qc_results,time
"('0',)",3.48719000816,29,13,1026.80256335,29,13,14,3779218458.37,3779218533.06,3771215402.68,44.63218,-124.30797,0.0,internal_timestamp,73.2509994507,29,29,1562226602.68,33.8975982666,29,29,1,7.61800003052,29,29,3771215402.68
"('1',)",3.48721003532,29,13,1026.80272202,29,13,14,3779218458.39,3779218533.06,3771215402.74,44.63218,-124.30797,0.0,internal_timestamp,73.2340011597,29,29,1562226602.74,33.8978996277,29,29,0,7.61800003052,29,29,3771215402.74
"('2',)",3.48710989952,29,13,1026.80188707,29,13,14,3779218458.39,3779218533.06,3771215402.8,44.63218,-124.30797,0.0,internal_timestamp,73.2200012207,29,29,1562226602.8,33.896900177,29,29,0,7.61789989471,29,29,3771215402.8
"('3',)",3.48719000816,29,13,1026.80256335,29,13,14,3779218458.39,3779218533.06,3771215402.87,44.63218,-124.30797,0.0,internal_timestamp,73.2509994507,29,29,1562226602.87,33.8975982666,29,29,0,7.61800003052,29,29,3771215402.87
"('4',)",3.48721003532,29,13,1026.80281443,29,13,14,3779218458.39,3779218533.06,3771215402.93,44.63218,-124.30797,0.0,internal_timestamp,73.2340011597,29,29,1562226602.93,33.8979988098,29,29,0,7.61789989471,29,29,3771215402.93
"('5',)",3.48695993423,29,13,1026.80034713,29,13,14,3779218458.39,3779218533.06,3771215402.99,44.63218,-124.30797,0.0,internal_timestamp,73.1989974976,29,29,1562226602.99,33.8950996399,29,29,0,7.61810016632,29,29,3771215402.99
"('6',)",3.48701000214,29,13,1026.80059156,29,13,14,3779218458.39,3779218533.06,3771215403.06,44.63218,-124.30797,0.0,internal_timestamp,73.1900024414,29,29,1562226603.06,33.8955001831,29,29,0,7.61829996109,29,29,3771215403.06
"('7',)",3.48709988594,29,13,1026.80171674,29,13,14,3779218458.39,3779218533.06,3771215403.12,44.63218,-124.30797,0.0,internal_timestamp,73.2200012207,29,29,1562226603.12,33.8967018127,29,29,0,7.61800003052,29,29,3771215403.12
"('8',)",3.48704004288,29,13,1026.80103616,29,13,14,3779218458.39,3779218533.06,3771215403.18,44.63218,-124.30797,0.0,internal_timestamp,73.2119979858,29,29,1562226603.18,33.8959007263,29,29,0,7.61810016632,29,29,3771215403.18
"('9',)",3.48698997498,29,13,1026.80051911,29,13,14,3779218458.39,3779218533.06,3771215403.25,44.63218,-124.30797,0.0,internal_timestamp,73.2050018311,29,29,1562226603.25,33.8953018188,29,29,0,7.61819982529,29,29,3771215403.25
"('10',)",3.48698997498,29,13,1026.80031821,29,13,14,3779218458.39,3779218533.06,3771215403.31,44.63218,-124.30797,0.0,internal_timestamp,73.1989974976,29,29,1562226603.31,33.8950996399,29,29,0,7.61829996109,29,29,3771215403.31
"('11',)",3.48702001572,29,13,1026.80032582,29,13,14,3779218458.39,3779218533.06,3771215403.37,44.63218,-124.30797,0.0,internal_timestamp,73.1900024414,29,29,1562226603.37,33.895198822,29,29,0,7.6185002327,29,29,3771215403.37
"('12',)",3.48705005646,29,13,1026.8004006,29,13,14,3779218458.39,3779218533.06,3771215403.43,44.63218,-124.30797,0.0,internal_timestamp,73.1780014038,29,29,1562226603.43,33.895401001,29,29,0,7.61870002747,29,29,3771215403.43
